sagen_s36_f0	`` Es ist wirklich schwer zu sagen , welche Positionen er einnimmt , da er sich noch nicht konkret geäußert hat '' , beklagen Volkswirte . 
sagen_s48_f0	`` Die Frage ist nur '' , meint ein Finanzexperte , `` ob erkeywordtag ins Weiße Haus einziehen kann , ohne unskeywordtag vorher zu sagen , was er eigentlich machen will . '' 
sagen_s130_f1	FR : Siekeywordtag sagen in Ihrem Buch über die Republikaner ( `` Die , Republikaner - Profile einer Rechtsaußenpartei '' ) , Verbote , Ausgrenzung und Ignorieren seien nicht die richtigen Strategien , und Siekeywordtag 	sagen 	, Information und Diskussion müßten angeboten werden . 
sagen_s8913_f0	`` Diese Maßnahmen kommen überraschend und sind nach meiner Sicht nicht notwendig aufgrund der augenblicklichen Datenlage '' , 	sagte 	Professor Benno Runnebaum vom Vorstand der Deutschen Gesellschaft für Gynäkologie am Dienstag im Saarländischen Rundfunk . 
sagen_s8917_f0	Entscheidend sei die von der Europäischen Arzneimittelbehörde für Juni angekündigte abschließende Bewertung , 	sagte 	Jürgen Beckmann vom Institut dem ZDF . 
sagen_s8962_f0	Zwar seien inzwischen die Verfahren verbessert und mehr Asylbewerber anerkannt worden , 	sagte 	der Lübecker Bischof Karl-Ludwig Kohlwage am Dienstag bei der EKD-Synode in Friedrichshafen . 
sagen_s9029_f0	`` Es ist die Geschichte , der Stolz der Madagassen , der in Schutt und Asche liegt '' , 	sagte 	ein Einwohner Antananarivos . 
sagen_s9040_f0	Der Sprecher des US-Außenministeriums , Nicolas Burns , 	sagte 	zu der Kritik Goldstones , er könne geheime Informationen , die den USA vorlägen , jetzt nicht öffentlich diskutieren . 
sagen_s9049_f0	Bremens Bürgermeister Henning Scherf ( SPD ) 	sagte 	, der freiwillige Gang der Berliner SPD in die Opposition sei ein `` Armutszeugnis '' , weil es bedeuten würde , daß sich die Partei `` nicht mehr traut , in der Regierung mitzugestalten '' . 
sagen_s9065_f0	`` Man schließt kein Atomkraftwerk , das 200 Millionen Dollar im Jahr einbringt , Millionen Menschen Strom liefert und 25 000 Menschen eine Beschäftigung bietet '' , 	sagte 	Paraschinkeywordtag diese Woche der finnischen Tageszeitung Vasabladet : 
sagen_s9098_f0	Die beschädigte Leitung sei repariert worden , und die Arbeit habe bereits vier Stunden später wiederaufgenommen werden können , 	sagte 	ein Behördensprecher am Dienstag . 
sagen_s9099_f0	Der Sprecher 	sagte 	auch , daß die Giftwolke die Anwohner um die Fabrik nicht gefährdet habe . 
sagen_s9138_f0	Die Diskussion mit den Bündnispartnern müsse weitergeführt werden , 	sagte 	der US-Außenamtssprecher Nicholas Burns . 
sagen_s9141_f0	Es gebe auch noch mehrere Kandidaten , 	sagte 	Burnskeywordtag . 
sagen_s9164_f0	Der Richter 	sagte 	, Minister hätten in dem Fall zu Unrecht Akten zurückgehalten , mit deren Hilfe die Angeklagten ihre Unschuld hätten beweisen können . 
sagen_s9210_f0	Kunst , 	sagt 	er , der für seine Bilder von der traditionellen Linken ( der ehemaligen KPI allen voran ) stets ebenso hart angegriffen wurde wie von den Exponenten der Rechten , müsse ihrem anthropologischen Auftrag genügen : als Gedächtnis und Archiv der Menschen , über die Vergeßlichkeit der Zeitgenossen hinaus . 
sagen_s9446_f0	Doch der renommierte Theatermann , der derzeit `` education director '' am Shakespeare Globe Centre in Los Angeles ist , der über europäische Erfahrungen und Meriten als Fundraiser , als Geldbeschaffer also , verfügt , 	sagt 	, auf seine detaillierten Fragen nach Budget , Autonomie , Zielen etc. habe er keine befriedigenden Antworten erhalten . 
sagen_s9449_f0	Er habe den Eindruck , 	sagt 	Fantasiakeywordtag , Frau Heuwagen habe `` sich beleidigt gefühlt , daß ich derart unverblümte Fragen stellte '' . 
sagen_s9450_f0	Marianne Heuwagen 	sagt 	, von den vier verbliebenen Kandidaten habe letztlich keiner wirklich überzeugen können . 
sagen_s9491_f0	Bisher läßt sich auch 	sagen 	, daß die Therapie unterschiedlich wirkt , je nach Tumorart . 
sagen_s9518_f0	Noch eine Anstrengung ... , denn schließlich ist der Brief , den Du mir schickst und der sich mal auf das beruft , waskeywordtag mankeywordtag 	sagt 	, mal was Du selber denkst , und beides vermischt , eine Art Jubel über mein angebliches Unglück . 
sagen_s9519_f0	Einerseits 	sagst 	Dukeywordtag mirkeywordtag , daß ich in der Klemme stecke , so oder so in der Klemme stecke , im Leben , in der Lehre , in der Politik , daß ich ein widerlicher Star geworden bin , daß es im übrigen nicht mehr lange gutgeht und ich da nicht mehr rauskomme . 
sagen_s9520_f0	Andererseits 	sagst 	Dukeywordtag mirkeywordtag , daß ich immer nur hinterhergelaufen bin , daß ich von Euren Giften koste und Euch das Blut aussauge , Euch , die Ihr die wahren Experimentatoren und Helden seid , während ich nur am Rand stehe , zuschaue und von Euch profitiere . 
sagen_s9526_f0	Von Euch jedoch könnte mankeywordtag 	sagen 	, daß Ihr vollkommen verbittert geboren seid , Eure Kunst ist die des Augenzwinkerns , `` mir kann man nicht ... , ich mache ein Buch über Dich , aber ich werde es Dir schon zeigen ... '' . 
sagen_s9539_f0	Ich komme also auf Deinen ersten Kritikpunkt zurück , wo Dukeywordtag 	sagst 	und es in allen Tonlagen wiederholst : Du bist festgefahren , du steckst in der Klemme , gib 's zu , gestehe . 
sagen_s9565_f1	Du siehst mich beruflich festgefahren , weil ich zwei Jahre in Vincennes gelehrt habe und weil , wiekeywordtag mankeywordtag sagt , wiekeywordtag Dukeywordtag 	sagst 	, ichkeywordtag dortkeywordtag nichts mehr machekeywordtag . 
sagen_s9571_f0	Aber was weißt Du überhaupt von mir , einmal 	gesagt 	, daß ich eher an das Geheimnis glaube , d. h. an die Gewalt der Täuschung , als an Erzählungen , die von einem erbärmlichen Glauben an Genauigkeit und Wahrheit zeugen ? ( ... ) 
sagen_s9575_f0	ich weiß nicht , was ich bin , so viele Erforschungen oder Versuche sind nötig , nicht-narzißtische , nicht-ödipale - kein Schwuler wird je mit Gewißheit 	sagen 	können `` ich bin Schwuler '' . 
sagen_s9582_f0	Kammersängerregie , das gab 's früher , als manch ausgesungener Gesangsmime seinen Kollegen 	sagte 	, ob sie sich von links oder von rechts schnurstracks auf die Rampe zubewegen sollten und wie sie wieder von der Bühne hinuntergelangen könnten . 
sagen_s9643_f0	`` Aber das Gericht hat dies nicht mit der Eindeutigkeit und der Klarheit getan , die wir uns gewünscht hätten '' , 	sagte 	erkeywordtag . 
sagen_s9645_f0	Verbandschef Bernhard Gertz 	sagte 	in Bonn , er halte das Votum des Ersten BVG-Senats für `` zu akademisch '' . 
sagen_s9647_f0	Gertzkeywordtag 	sagte 	, er breche angesichts des neuen Urteils `` nicht in Begeisterungsstürme aus '' , erkenne aber an , daß die Sensibilität des Gerichts seit dem vergangenen Jahr offenbar gewachsen sei . 
sagen_s9732_f0	Ein Sprecher des Wirtschaftsministeriums in Den Haag 	sagte 	dazukeywordtag , daß sein Haus die Aussage `` zur Kenntnis '' genommen habe , ihr aber keine allzu große Bedeutung beimesse : 
sagen_s9788_f0	`` Freie Aktionäre haben bei uns in der Hauptversammlung die Mehrheit '' , 	sagt 	erkeywordtag . 
sagen_s9801_f0	Das `` Geschäft mit der Angst '' betreibe Effeff nicht , 	sagt 	Merkelkeywordtag . 
sagen_s9882_f0	Vor einem Gericht in Naha , der Hauptstadt Okinawas , 	sagte 	ein 22jähriger Soldat , er habe die zwölfjährige Schülerin zusammengeschlagen , ins Auto gezerrt und vergewaltigt . 
sagen_s9930_f0	`` Wir haben uns ernsthaft dazu verpflichtet , und deshalb werden wir es auch ernsthaft umsetzen '' , 	sagte 	der amtierende Ministerpräsident . 
sagen_s9939_f0	Peres werde dann 21 Tage Zeit haben , sein Kabinett zu bilden , 	sagte 	Regierungssprecher Uri Dromi . 
sagen_s9987_f0	Im nächsten Jahr , 	sagt 	DIHT-Hauptgeschäftsführer Franz Schoser , dürfte sich das gesamtdeutsche Wirtschaftswachstum bei zwei Prozent einpendeln . 
sagen_s10098_f0	Der Vorsitzende der IG Metall , Klaus Zwickel , 	sagte 	in Dortmund , Gottschol sei an seiner `` unflexiblen Tarifpolitik '' gescheitert . 
sagen_s10114_f0	Eine Rechtsordnung , die junge Männer zum Waffendienst verpflichte , müsse sie auch vor `` Schmähungen '' schützen , 	sagte 	Rühekeywordtag . 
sagen_s10132_f0	86 Jahre Geschichte der GGLF vereinigten sich mit 126 Jahren Tradition in der IG Bau , 	sagte 	deren scheidender Vorsitzender Bruno Köbele in der Dortmunder Westfalenhalle . 
sagen_s10134_f0	So hätten die `` Kollegen '' von der GGLF in strategischer Weitsicht schon in den 70er Jahren einen Schritt in die Zukunft gemacht , als sie mit den Arbeitgebern eine europäisch gültige Absprache über die Arbeitszeit von Landarbeitern vereinbart hätten , 	sagte 	erkeywordtag . 
sagen_s10154_f0	`` Für Schrottrecycling wollen wir gar nicht zuständig sein , dafür bist du alleine zuständig , Kollege Zwickel '' , 	sagte 	der Vorsitzende Klaus Wiesehügel unter Beifall der Delegierten . 
sagen_s10181_f0	Diese einseitige Belastung sei nun vom Tisch , 	sagt 	Börnsenkeywordtag . 
sagen_s10231_f0	In seinem Grundsatzreferat 	sagte 	erkeywordtag , die IG BAU wolle ein `` neues Bündnis von Arbeit und Natur schließen '' . 
sagen_s10233_f0	Viel zu oft hätten Gewerkschaften die Gegner des Natur- und Umweltschutzes als vermeintliche Partner in der Sorge um den Arbeitsplatz begriffen , 	sagte 	Wiesehügelkeywordtag nach seiner Wahl . 
sagen_s10236_f0	Indirekt rügte Wiesehügel die Spitze der IG Bergbau , indem erkeywordtag 	sagte 	, daß diese jüngst beim Kongreß der IG Chemie einem Froschbiotop die Zukunft der arbeitenden Menschen entgegengesetzt habe . 
sagen_s10241_f0	Es sei ein `` Skandal '' , 	sagte 	Scharpingkeywordtag , daß die Arbeitslosigkeit auf dem Bau steige und inzwischen 150 000 deutsche Bauarbeiter arbeitslos seien , während gleichzeitig Beschäftigte aus anderen Ländern auf Baustellen ausgebeutet würden . 
sagen_s10273_f0	`` Es steht nicht gut um das deutsche Asylrecht '' , 	sagte 	der Lübecker Bischof Karl-Ludwig Kohlwage am Dienstag auf der EKD-Synode in Friedrichshafen . 
sagen_s10301_f0	`` Wir brauchen eine einvernehmliche Entscheidung '' , 	sagte 	der Sprecher des US-Außenministeriums , `` an dem Punkt sind wir noch nicht . '' 
sagen_s10346_f0	Ausschußvorsitzender Peter Straub ( CDU ) 	sagte 	, Zeugen müßten unter Ausschluß der Öffentlichkeit vernommen werden . 
sagen_s10358_f0	Dagegen 	sagte 	Anwalt Felix , im Zweifelsfall sei immer zugunsten des Interesses des Steuerbürgers zu entscheiden . 
sagen_s10368_f0	Bei der zweiten Lesung des Bundeshaushalts 1996 	sagte 	Waigelkeywordtag laut seinem Redemanuskript , er sei zu dem Vorstoß durch die `` bei der SPD erkennbaren erfreulichen Zeichen für ein Umdenken in der Finanzpolitik '' ermutigt worden . 
sagen_s10388_f0	Rafsandschanikeywordtag 	sagte 	in Teheran , sein Land bestehe darauf , daß das Gericht den Prozeß `` unparteiisch und frei '' weiterführe . 
sagen_s10390_f0	Zum deutsch-iranischen Verhältnis 	sagte 	Rafsandschanikeywordtag , er sehe eine gute Basis für die Zukunft . 
sagen_s10409_f0	Die Einsparungen seien nicht mehr allein durch Kürzungen bei den Sachkosten zu erreichen , 	sagte 	der Vorsitzende des Haushaltausschusses , Werner Radatz . 
sagen_s10497_f0	Eigentliche Verstöße gegen das internationale Vertragswerk zum Schutz des Kindes seien Deutschland nicht vorgeworfen worden , 	sagte 	Wabnitzkeywordtag in einem Pressegespräch . 
sagen_s10504_f0	Quantitativ reichten die Kinderhorte in den ostdeutschen Bundesländern angesichts der niedrigen Geburtenrate aus , nur qualitativ lägen Mängel vor , 	sagte 	erkeywordtag . 
sagen_s10510_f0	Sie sei `` nicht eines unserer vordringlichen Probleme '' , 	sagte 	Herzogkeywordtag am Dienstag bei seinem Antrittsbesuch in Bremen . 
sagen_s10511_f0	Auf Journalistenfragen wollte er zwar nicht ausdrücklich für den Erhalt des kleinsten Bundeslandes plädieren , doch 	sagte 	erkeywordtag , zum Föderalismus gehöre das `` Nebeneinander von Großen und Kleinen '' . 
sagen_s10518_f0	Die reguläre Entwicklungshilfe wieder aufzunehmen , sei momentan nicht möglich , 	sagte 	Außenminister Klaus Kinkel . 
sagen_s10635_f0	Eine Neuwahl oder der Gang in die Opposition seien keine vernünftigen Alternativen , 	sagte 	erkeywordtag . 
sagen_s10655_f0	Wiekeywordtag ein Grenzschutz-Sprecher 	sagte 	, wurdenkeywordtag zwei Tschechen mit den Behältern am Übergang Glucholazy festgenommenkeywordtag . 
sagen_s10697_f0	`` Wir mußten nüchtern die Rechtsprechung des Bundesverfassungsgerichts aus dem Jahre 1993 zur Kenntnis nehmen , die besagt , daß aufgrund Artikel sechs im Grundgesetz eine Eheschließung gleichgeschlechtlicher Paare unzulässig ist '' , 	sagte 	Ministerpräsident Gerhard Schröder der Kölner Schwulenzeitung First . 
sagen_s10750_f0	`` Daß Tiere für studentische Praktika gequält und getötet werden , ist ethisch nicht zu vertreten und wissenschaftlich nicht zu begründen '' , 	sagte 	der Präsident der Organisation , Wolfgang Apel , am Mittwoch in Bonn . 
sagen_s10753_f0	Brigitte Rusche , wissenschaftliche Leiterin des Tierschutzbundes , 	sagte 	, die `` Gelbe Liste '' und eine Datenbank sollten eine Grundlage für Studenten und Dozenten bilden , auf der sie eine Ausbildung ohne Tierversuche einfordern können . 
sagen_s10758_f0	Durch die Gerichtsentscheidung erhalte der Abschiebeschutz , wie er in der Genfer Flüchtlingskonvention und im deutschen Ausländerrecht vorgesehen sei , `` eine entscheidende Bedeutung im deutschen Asylverfahren '' , 	sagte 	die UN-Vertreterin Judith Kumin am Mittwoch in Bonn . 
sagen_s10765_f0	In Alexandria in Virginia 	sagte 	Powellkeywordtag , er habe den `` Ruf '' nicht vernommen . 
sagen_s10819_f0	Manson Garreaux , ein Nachfahre des Häuptlings , 	sagte 	in Eagle Butte : `` Crazy Horse hat sich niemals fotografieren lassen und war gegen jedes öffentliche Aufsehen . 
sagen_s10862_f0	Durch die niedrigeren Einkommen seien Frauen auf dem Wohnungsmarkt prinzipiell benachteiligt , 	sagte 	Sprecherin Werena Rosenke . 
sagen_s10908_f0	Wenn Parteichef Rudolf Scharping weiter alles alleine mache , werde er öffentlich nur noch als überarbeitet wahrgenommen , 	sagte 	siekeywordtag am Mittwoch der Zeitung Die Woche . 
sagen_s10913_f0	`` Wer glaubt , er ist besser , der muß eskeywordtag 	sagen 	und kandidieren und darf nicht hinterher rumnölen . '' 
sagen_s10914_f0	Man könne den Streit in der SPD nicht als Betriebsunfall abtun , 	sagte 	Simoniskeywordtag . 
sagen_s10945_f0	Der stellvertretende SPD-Bundesvorsitzende Wolfgang Thierse 	sagte 	vor den Delegierten , zu einer Neuauflage der großen Koalition gebe es für die Sozialdemokraten keine Alternative . 
sagen_s10955_f0	Todesursache sei in den meisten Fällen ein `` Mangel an Pflege , Wasser und Nahrung '' , 	sagte 	Machelkeywordtag zur Eröffnung einer Konferenz der UN zu den Auswirkungen kriegerischer Konflikte auf Kinder . 
sagen_s10958_f0	`` Daß Kinder nicht nur Opfer des Krieges sind , sondern gezielt instrumentalisiert werden , dokumentiert eine fundamentale Krise der Gesellschaft '' , 	sagte 	Machelkeywordtag . 
sagen_s10977_f0	`` Keiner von ihnen hatte auch nur einen Schimmer , worüber sie überhaupt lachten '' , 	sagt 	Holden , der einen Bericht aus dem `` Central African Journal of Medicine '' vorzeigt . 
sagen_s11004_f0	Verheugenkeywordtag 	sagte 	am Mittwoch morgen vor den Abgeordneten in Bonn , Bundeskanzler Helmut Kohl ( CDU ) sei unter anderem der `` Kanzler der Höchstbesteuerung '' geworden . 
sagen_s11015_f0	Verheugenkeywordtag 	sagte 	dazukeywordtag , nach dem Tod Rabins müsse Deutschland den Friedensprozeß im Nahen Osten mit allen Kräften unterstützen . 
sagen_s11033_f0	Diepgenkeywordtag 	sagte 	am Mittwoch , er sehe in dem Beschluß `` einen Schritt in die Richtung , auch weiterhin Regierungsverantwortung zu übernehmen '' . 
sagen_s11057_f0	Beide Seiten hätten einen entsprechenden Plan der Militärs zur Beteiligung der russischen Soldaten an der Friedenstruppe gebilligt , 	sagte 	Perrykeywordtag . 
sagen_s11062_f0	Der Sprecher des US-Außenministeriums , Nicholas Burns , 	sagte 	, die USA strebten eine schriftliche Zusage an . 
sagen_s11070_f0	Dieses Grundbedürfnis könne auf Dauer nicht unterdrückt werden , 	sagte 	die CDU-Politikerin am Mittwoch in Bonn . 
sagen_s11073_f0	Das Datum stehe auch für den `` Beginn einer Entwicklung in unserem Land , die uns in den schrecklichen Völkermord am jüdischen Volk verstrickte '' , 	sagte 	Süssmuthkeywordtag . 
sagen_s11081_f0	Auch die Todesurteile gegen die acht Mitstreiter Saro-Wiwas seien bestätigt worden , 	sagte 	Malukeywordtag . 
sagen_s11094_f0	Die Bundesregierung habe alle erforderlichen Fragen für eine Auslieferung des Bauunternehmers und seiner Frau Claudia zur Zufriedenheit beantwortet , 	sagte 	der Richter in seiner Begründung . 
sagen_s11103_f0	Turnoffkeywordtag 	sagte 	den Anwälten Schneiders , er verstehe ihre vehement vorgetragenen Einwände gegen eine Verurteilung des Bauunternehmers . 
sagen_s11115_f0	Im Anschluß an diese Aktion seien 13 tatverdächtige Drogenhändler festgenommen worden , 	sagte 	BKA-Sprecher Willi Fundermann am Mittwoch in Wiesbaden . 
sagen_s11116_f0	Der Einsatz sei mit den zuständigen deutschen und niederländischen Behörden abgestimmt gewesen und damit auch rechtlich nicht zu beanstanden , 	sagte 	der BKA-Sprecher . 
sagen_s11118_f0	Solche Aktionen seien mit den Staatsanwaltschaften und den Polizeidienststellen abgestimmt , 	sagte 	Fundermannkeywordtag . 
sagen_s11122_f0	Das Vorgehen des BKA sei von nationalem und internationalem Recht gedeckt , 	sagte 	Fundermannkeywordtag . 
sagen_s11129_f0	Der Vorgang bedürfe einer raschen und vollständigen Aufklärung , 	sagte 	der polizeipolitische Sprecher der Fraktion , Manfred Such , in Bonn . 
sagen_s11163_f0	Rosekeywordtag 	sagte 	, nach der Anerkennung der 70 000 deutschen Sinti und Roma als nationale Minderheit müßten nun Staatsverträge zum Minderheitenschutz mit den Ministerpräsidenten der Länder ausgehandelt werden . 
sagen_s11186_f0	Die Commerzbank als Konsortialführerin der Kreditgeber habe ihm gegenüber eine finanzielle Schieflage dementiert , 	sagt 	der Schweriner Minister Ringstorff . 
sagen_s11196_f0	`` Den Beginn über 1999 hinaus zu verschieben , könnte das definitive Ende der EWU bedeuten '' , 	sagte 	erkeywordtag im Internationalen Club Frankfurter Wirtschaftsjournalisten zu entsprechenden Forderungen von SPD-Politikern sowie der Verbandsspitze der Volks- und Raiffeisenbanken . 
sagen_s11204_f0	Der Währungsclub könnte ohne Italien eröffnet werden , aber nicht ohne Frankreich , das sich indes sehr anstrengen müsse , die Stabilitätskriterien zu erfüllen , 	sagte 	Duisenbergkeywordtag . 
sagen_s11233_f0	Erkeywordtag 	sagte 	in der Nacht zum Mittwoch im US-Fernsehsender CNN , er selbst habe Gewalt als Mittel , sich in die Politik Israels einzumischen , stets verurteilt . 
sagen_s11271_f0	Aus Protest gegen die französischen Atomversuche im Südpazifik habe der Stadtrat der norwegischen Stadt Sandnes mit neun gegen acht Stimmen bei zwei Enthaltungen beschlossen , in diesem Jahr keine Tanne nach Paris zu schicken , 	sagte 	der Bürgermeister . 
sagen_s11276_f0	Die unerwartet große Hitze habe die erwartete Zahl von Gänseeiern um ein Sechstel zurückgehen lassen , 	sagte 	der Vorsitzende des Gänsezüchterverbandes , John Adlard , dem Daily Telegraph : 
sagen_s11554_f0	`` Wir sind nicht die Front der Linken '' , 	sagt 	der FDNG-Kandidat für Guatemalas Parlament mit Nachdruck . 
sagen_s11574_f0	`` Das ist ein gewaltiger Fortschritt '' , 	sagt 	ein Diplomat . 
sagen_s11582_f0	`` Wer Portillo wählt , will eigentlich Rios Montt '' , 	sagt 	Journalist David Dubon . 
sagen_s11600_f0	`` Zuviel Mathe-Unterricht ist Quatsch - das 	sagt 	ausgerechnet ein Mathematik-Professor . 
sagen_s11641_f0	Man muß Heymanns ( ohnehin überinterpretierten ) Anregungen für eine Neugestaltung des Unterrichts nicht zustimmen , aber man sollte sich mit dem Hauptanliegen seiner Schrift auseinandersetzen , das in dem Versuch besteht , zu sagen , was denn einen allgemeinbildenden Unterricht und speziell einen allgemeinbildenden Mathematikunterricht eigentlich ausmacht . 
sagen_s11879_f0	Der gegenwärtige Verlust maritimen Lebens sei alarmierend angesichts der Tasache , daß mehr als eine Milliarde Menschen ihren Eiweißbedarf damit deckten , 	sagte 	WWF-Meeresexperte Stephan Lutter . 
sagen_s11905_f0	Zur Haltung der Bundesregierung , die Lubbers als EU-Kommissionspräsidenten abgelehnt hatte , ihn jetzt aber stützt , 	sagte 	Voigtkeywordtag , es sei gut , daß Lubbers nicht weiter von Bundeskanzler Helmut Kohl nur deshalb abgelehnt werde , weil er sich kritisch zur deutschen Vereinigung geäußert habe . 
sagen_s11942_f0	Verboten ist das nicht , zumal in Bonn Außenpolitik nach dem Obersatz veranstaltet wird : `` Mama Justitia hat 	gesagt 	, ich darf das ! '' 
sagen_s11955_f0	Die zur Tatzeit `` massiv alkoholisierten '' Angeklagten hätten das junge Leben ihres Bekannten mit Tritten ausgelöscht , `` erbarmungslos , grausam und elend '' , 	sagte 	der Vorsitzende Richter August Wilhelm Marahrens in der Urteilsbegründung . 
sagen_s11959_f0	Starzacherkeywordtag 	sagte 	am Mittwoch vor dem Landtag , ein Verkauf werde nur einen niedrigen Erlös , dafür aber an anderer Stelle dauerhafte Mehrbelastungen des Landes bringen . 
sagen_s11968_f0	`` Für gewisse Zeit '' solle das Land seine 45-Prozent-Anteile am Frankfurter Airport noch behalten , 	sagte 	erkeywordtag . 
sagen_s11971_f0	Der heutige Bundesinnenminister hatte 1989 vor dem Landtag noch 	gesagt 	, er würde `` nie auf den Gedanken kommen , Staatsanteile am Flughafen zu privatisieren '' . 
sagen_s11972_f0	Hessen hält im Unterschied zu anderen Ländern `` nur noch das , was strukturpolitisch unverzichtbar ist '' , 	sagte 	Starzacherkeywordtag . 
sagen_s12061_f0	Auch bei einer Gedenkfeier für den israelischen Ministerpräsidenten Yitzhak Rabin 	sagte 	Ulmaniskeywordtag , daß man `` extremistische Kräfte bekämpfen '' müsse , `` auch hier im Baltikum '' . 
sagen_s12082_f0	Zudem bestehe ein striktes Fotografierverbot , 	sagt 	Messe-Geschäftsführer Michael Peters . 
sagen_s12102_f0	Die Teilnahme am `` Umwelt-TÜV '' könne Einsparpotentiale aufdecken , Risiken minimieren sowie das Verhältnis zu Kunden , Öffentlichkeit und Genehmigungsbehörden verbessern , 	sagt 	Junckerkeywordtag . 
sagen_s12179_f0	`` Wir befinden uns in allerdünnster Höhenluft '' , 	sagt 	der Manager . 
sagen_s12194_f0	`` Wir können uns durchaus vorstellen zuzupacken '' , 	sagt 	Schinzlerkeywordtag . 
sagen_s12407_f0	Ich wiederhole , waskeywordtag ichkeywordtag anläßlich der 40-Jahr-Feier der Bundeswehr öffentlich 	gesagt 	habe : 
sagen_s12414_f0	`` Diese Auszeichnung ist eine sehr , sehr große Ehre für mich '' , 	sagte 	Clapton , der in einer königlichen Robe zu den Feierlichkeiten erschien . 
sagen_s12415_f0	`` Vor ein paar Jahren hätte ich diese Ernennung vielleicht gar nicht angenommen , aber ich denke , ich bin mit dem Alter gereift '' , 	sagte 	Claptonkeywordtag . 
sagen_s12430_f0	Das Foto sei eine Montage , 	sagte 	siekeywordtag . 
sagen_s12466_f0	`` Die Krankenhäuser wurden systematisch beschossen '' , 	sagte 	Ljubickeywordtag . 
sagen_s12529_f0	`` Das ist ein Pulverfaß '' , 	sagt 	der Kanadier Ron Wilkenson , den die Vereinten Nationen ( UN ) vor drei Jahren hierher schickten . 
sagen_s12540_f0	`` Es ist kaum zu fassen , daß wir inzwischen Geschäfte mit Arabern anbahnen '' , 	sagt 	erfreut der Präsident der Israelisch-Deutschen Industrie- und Handelskammer in Tel Aviv , Gabi Heller . 
sagen_s12700_f0	Die Soldaten brauchten den Rückhalt der Kirche , hatte der Bundesverteidigungsminister in Friedrichshafen 	gesagt 	; 
sagen_s12704_f0	Ratsvorsitzender Klaus Engelhardt 	sagte 	warum : 
sagen_s12705_f0	`` Es ist keine Unverschämtheit und keine Häme , wenn wirkeywordtag 	sagen 	, auch für kirchlich angestellte Pfarrer verlangen wir finanzielle Unterstützung des Staates . 
sagen_s12781_f0	Der SPD-Abgeordnete Werner Buß 	sagte 	, die Einführung des Wahlalters 16 sei ein `` erster Schritt '' , um die Jugend näher an die Politik heranzuführen . 
sagen_s12803_f0	Todesursache sei in den meisten Fällen ein `` Mangel an Pflege , Wasser und Nahrung '' , 	sagte 	Graca Machel , ehemalige Erziehungsministerin Mosambiks , zur Eröffnung einer UN-Konferenz über die Auswirkungen kriegerischer Konflikte auf Kinder in Abidjan in der Elfenbeinküste . 
sagen_s12806_f0	`` Daß Kinder nicht nur Opfer des Kriegs sind , sondern dort gezielt instrumentalisiert werden , dokumentiert eine fundamentale Krise unserer Gesellschaft '' , 	sagte 	Machelkeywordtag . 
sagen_s12832_f0	Zum Schritt des IG-Metall-Vorsitzenden Klaus Zwickel , der Unternehmern und Regierung ein `` Bündnis für Arbeit '' angeboten hat , 	sagte 	Kanzler Kohl am Mittwoch im Bundestag : `` Wir werden dieses Angebot aufnehmen und darüber sprechen . '' 
sagen_s12838_f0	Sonst gebe er `` Verhandlungsmasse '' mit anderen beteiligten Staaten preis , 	sagte 	erkeywordtag . 
sagen_s12844_f0	Zum Bundeshaushalt 	sagte 	Scharpingkeywordtag an Kohl gewandt : `` Damit erwürgen Sie die Gestaltungskraft '' , denn allein in sieben Jahren der Regentschaft Kohls seien ebensoviele Schulden angehäuft worden wie in vier Jahrzehnten zuvor insgesamt . 
sagen_s12872_f0	Mit Blick auf die Fortsetzung der Gespräche im kommenden Monat 	sagte 	der Minister , dies sei dann `` der richtige Zeitpunkt für eine Bewertung '' . 
sagen_s12961_f0	Dies , 	sagt 	erkeywordtag , würde die grüne Außenpolitik völlig umdrehen . 
sagen_s13105_f0	Dies sei die `` einzige Antwort '' auf die Ermordung des israelischen Ministerpräsidenten Yitzhak Rabin , 	sagte 	der syrische Außenminister Faruk el Schara am Mittwoch bei einem Besuch des britischen Außenministers Malcolm Rifkind . 
sagen_s13176_f0	Schneiders Anwalt Michael Lacher 	sagte 	, seine Mandanten seien von dem Beschluß enttäuscht . 
sagen_s13179_f0	Die deutsche Regierung habe alle erforderlichen Fragen für eine Auslieferung zur Zufriedenheit beantwortet , hatte der Richter in seiner Begründung 	gesagt 	. 
sagen_s13188_f0	Der Frankfurter Staatsanwalt Dieter Haike 	sagte 	in Miami , er sei erfreut über die Entscheidung . 
sagen_s13223_f0	Augenzeugenkeywordtag 	sagten 	der Nachrichtenagentur NA , an Bord der Maschine habe sich bei stürmischem Wetter offenbar eine Explosion ereignet . 
sagen_s13230_f0	Für den Aufbau Ost stelle die Europäische Union ( EU ) von 1994 bis 1999 insgesamt 27 Milliarden Mark bereit , 	sagte 	Santerkeywordtag nach einer Konferenz mit den ostdeutschen Regierungschefs . 
sagen_s13304_f0	`` Um die 600 Gulden muß man als Anfänger schon investieren '' , 	sagt 	Theokeywordtag . 
sagen_s13318_f0	`` Das ist für mich eine wichtige Einnahmequelle '' , 	sagt 	erkeywordtag . 
sagen_s13321_f0	`` Sehr wichtig ist frische Luft '' , 	sagt 	Michael aus Arnheim . 
